name,logo_url,description,stage,sector,business_model,team_size,email,phone,services
شركة الطوارئ الرقمية للخدمات الطبية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1693150199IconOnly_Transparent_NoBuffer.png,"الطوارئ الرقمية من اولى المركز الطبية المستقلة للرعاية الطبية المنزلية المتخصصة في العناية التمريضية الحرجة, تقدم الخدمات الطبية المنزلية مع توفير المحيط الطبي مع خدمات الطرف الثالث لتقديم خدمات النقل الاسعافي, المستلزمات الطبية المنزلية, التحاليل المخبرية, الاستشارات الطبية, العلاج الطبيعي, التغذية العلاجية, هدفنا ان نرتقي و نطور الخدمات الطبية المنزلية و الميدانية في المدن  والمحافظات و القرئ و المناطق النائية.",Pre-Seed,Healthcare,B2C,1-9,diyaa.er.icu@gmail.com,0532668235,"[{'title': 'زيارة اخصائي تمريض', 'description': 'النقل والتقييم الطبي و المشورة'}]"
مرسم صاف للدعاية و الإعلان,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1693144036Logo-01.png,مؤسسة مرسم صاف للدعاية والاعلان هي مؤسسة مختصة في مجال تصميم العلامة التجارية وتقديم خدمات تصميم متكاملة .,Seed,Advertising and Marketing - Creative - Architecture & Design,B2B,1-9,info@safstudio.design,0567135227,"[{'title': 'تصميم العلامة التجارية', 'description': 'اختيار الاسم التجاري ، تصميم الشعار ، تصميم الهوية البصرية ، استراتيجية العلامة التجارية ، الشعار اللفظي ، دليل استخدام الشعار الهوية البصرية'}, {'title': 'تصميم تطبيقات العلامة التجارية', 'description': 'تصميم القرطاسية ، تصميم أغلفة المنتجات ، تصميم المطبوعات ، تصميم واجهة المحلات'}, {'title': 'إدارة ظهور العلامة التجارية عبر مواقع التواصل الاجتماعي', 'description': 'التصوير ، التصميم ، استراتيجية التسويق ، إدارة الحسابات ، الحملات المدفوعة'}]"
اسيار,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1693130426basic logo.png,"اسيار شركة سعودية عصرية تتبنى الإبداع والابتكار في مجال التحول الرقمي وتهدف إلى
المساهمة في تطوير مستوى الإجراءات والعمليات في منظمات القطاع العام والخاص
وتخطط لبناء شراكة فعالة مع العملاء لتطبيق أفضل الممارسات التقنية وحلول الأعمال
وخطط التطوير والتدريب.
ننطلق في عملنا من مبدأ الشراكة المستمرة وطويلة الأمد مع عملائنا للوصول إلى الحلول
التقنية المتكاملة، بما في ذلك المنصات الرقمية، تطوير التطبيقات، إدارة البيانات وإدارة البنية
التحتية مستلهمين المحاور الرئيسية لرؤية المملكة ٢٠٣٠ للمساهمة في تحقيق أهدافها.",Growth,Artificial Intelligence - Data Analytics and Business - IT Solutions - Productivity apps - Enterprise Software - SaaS - Cloud Platforms - Consulting,B2B,1-9,saad@asyar.com,0560560222,"[{'title': 'الخدمات الاستشارية', 'description': 'خدمات تقنية المعلومات الاستشارية و المهنية'}]"
Mush Social,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692965563New Mush Logo .png,"Our startup is a social media platform that prioritizes meaningful virtual friendships and rewards user engagement. We provide a space for authentic connections, meaningful conversations, and support. With a point-based system, users can redeem accumulated points for real purchases, turning their efforts into tangible benefits. Our unique value proposition lies in creating a positive and impactful social media experience. We generate revenue through freemium and premium subscriptions, as well as strategic advertising partnerships. Our goal is to revolutionize the way people connect and interact online while providing a sustainable business model.",Seed,Media & Entertainment,B2B2C,1-9,hi@mushsocial.com,0530816725,"[{'title': 'Mush Social is a private social media platform that help youth to use a better social media with positivity and rewards.', 'description': 'Users access basic features for free, while a premium subscription unlocks advanced features. We generate revenue through subscriptions & strategic advertising partnerships, ensuring a sustainability'}]"
شركة الماس الذهبية للتجارة,https://sian.monshaat.gov.sa/Uploads/800x800/1693069407logo mass.jpeg,بيع جميع اجهزة الحاسب الالي,Pre-Seed,Advertising and Marketing - Gaming - General - IT Solutions - Retail - Technology - SaaS,B2B,1-9,masscomputer@gmail.com,0543853136,"[{'title': 'توريد الاجهزة', 'description': 'جميع انواع اجهزة الحاسب الالي وملحقاته'}]"
Deevo Analytics,https://sian.monshaat.gov.sa/Uploads/800x800/1693681662PHOTO-2023-09-02-12-22-21.jpg,"As a NLP Company, Our primary focus is on developing and implementing Natural language processing (NLP)Empower decision-making with NLP in Fintech, e-commerce, and Healthcare by Monitor Social Media posts, surveys, and Customer feedback forms to see what your Customers are saying about the bank. Using sentiment analysis get insights on customer needs and pain points, and come up with tailored offers. Use the data to readjust customer acquisition, experience and retention plans .

Want to beat up the Competitors in the e-commerce, bank, and healthcare industry? Merge all types of Social data to understand the current trends and customer preferences",Growth,Advertising and Marketing - AR/VR - Artificial Intelligence - Creative - Data Analytics and Business - EdTech - Robotics - SaaS - Consulting,B2B2C,1-9,info@deevo.co,0554960311,"[{'title': 'استشارات ذكاء اصطناعي', 'description': 'تقديم خدمات استشارات في ذكاء الاصطناعي'}, {'title': 'ببناء نموذج LLM مخصص لصناعتك', 'description': 'قم ببناء نموذج LLM مخصص لصناعتك\r\n\r\nتقدم شركتنا التوليدية للذكاء الاصطناعي نماذج مخصصة متجذرة في خبرة الذكاء الاصطناعي وسنوات من الخبرة عبر المجالات. التكنولوجيا المالية\r\n\r\nالبيع بالتجزئة والتجارة الإلكترونية\r\n\r\nالتسويق والإعلان\r\n\r\nالاتصالات السلكية واللاسلكية\r\n\r\nخدمات استشارية\r\n\r\nتَأْمين'}, {'title': 'تحليلات المشاعر', 'description': 'قم بتحسين استراتيجية عملك مع مشاعر المستخدم\r\n\r\nتحليلات المشاعر هي تقنية متطورة قائمة على البرمجة اللغوية العصبية تحدد النغمة العاطفية الأساسية لبيانات مشاعر المستهلك. إجمالي\r\n\r\nألق شباكك على نطاق واسع عند تحليل سلوك المستهلك. جمع المشاعر عبر المصادر وتوحيد بيانات المشاعر في وجهة نظر موحدة.\r\n\r\nتحليل.\r\n\r\nأضف خوارزميات ذكية للتحقق من أجواء الاتجاهات الناشئة. تتبع التحولات السلوكية الحاسمة والفرص الخفية في المشاعر.\r\n\r\nشغل\r\n\r\nقم بتوصيل الأفكار من خلال لوحات المعلومات التفاعلية، والتصرف بناء على بياناتك، واتخاذ قرارات مستنيرة حول الاتجاهات التي يجب اتباعها.  مراقبة المشاعر في الوقت الفعلي\r\n\r\nحقق عرضا من البداية إلى النهاية لتفضيلات المستهلك الخاصة بك من خلال حلول تتبع المشاعر الديناميكية الخاصة بنا. كشف التغيرات المزاجية للمستهلك، ومنع التقلبات، وكن قائد خدمة العملاء الاستباقية.\r\n\r\nتطوير نموذج الذكاء الاصطناعي العاطفي\r\n\r\nأدوات الاستماع إلى وسائل التواصل الاجتماعي\r\n\r\nحلول خدمة العملاء الذكية'}, {'title': 'مكالمات خدمة العملاء والتحليلات النصية', 'description': 'استفد من حلول الذكاء الاصطناعي لمراكز الاتصال. تحليل بيانات العملاء لإنشاء استراتيجيات أفضل لتجربة العملاء. باستخدام تحليلات المكالمات والنصوص الجيدة، يمكنك فهم شعور العملاء في الوقت الحالي، وتقييم خدماتك وما يمكنك القيام به لترقية ذلك.\r\n\r\nباستخدام تحليلات خطاب خدمة العملاء، يمكنك بسهولة قياس مشاعر العميل:\r\n\r\nتصنيف المتحدث وتحديد هوه\r\n\r\nتحديد النغمة\r\n\r\nتحديد إزالة التصعيد\r\n\r\nتحليل المشاعر\r\n\r\nالتحقق من التعاطف/الثقة/الأدب\r\n\r\nالتحدث بوضوح - تحقق بوضوح\r\n\r\nمقياس رضا العملاء\r\n\r\nتحديد المشكلة/الخطوات التالية'}, {'title': 'تطوير حلول التحليلات التنبؤية', 'description': 'عمل تجاري\r\n\r\nتوقع التقلب\r\n\r\nتوقع تقلب العملاء واتخذ إجراءات فعالة للاحتفاظ بالعملاء قبل فوات الأوان.\r\n\r\nنظام التوصية\r\n\r\nاستفد من التعلم الآلي لتخصيص التوصيات لكل عميل من عملائك.\r\n\r\nتجزئة العملاء\r\n\r\nتحقيق فهم أكثر عمقا للعملاء وتحسين تسويق العملاء.\r\n\r\nتحسين القيمة مدى الحياة\r\n\r\nالاستفادة من بيانات إدارة علاقات العملاء مع التحليلات التنبؤية لتحسين قيمة عمر العميل (LTV).\r\n\r\nالتسعير الديناميكي\r\n\r\nقم بتحسين استراتيجيات التسعير الخاصة بك للحفاظ على القدرة التنافسية وتقليل تسرب الإيرادات.\r\n\r\nتسجيل الائتمان\r\n\r\nقم بتحسين جودة نماذج تسجيل الائتمان الخاصة بك.\r\n\r\nالتنبؤ بالطلب\r\n\r\nالاستجابة لاحتياجات توريد الأعمال الخاصة بك بشكل أسرع وأكثر دقة.\r\n\r\nتحسين الحملة التسويقية\r\n\r\nعزز ربحية حملتك التسويقية من خلال استشارات التحليلات التنبؤية.'}, {'title': 'معالجة المستندات الذكية', 'description': 'تقليل عبء عمل الموظف\r\n\r\nانخفاض تكاليف الأجور\r\n\r\nزيادة رضا الموظفين عن سير العمل\r\n\r\nتعزيز العلامة التجارية للموظفين\r\n\r\nانخفاض تكاليف التوظيف\r\n\r\nزيادة كفاءة عمليات البيانات\r\n\r\nتحسين جودة البيانات\r\n\r\nتحسين نطاق جمع البيانات\r\n\r\nخدمة أسرع\r\n\r\nتقليل المخاطر\r\n\r\nتقليل الاتصال البشري مع البيانات الحساسة\r\n\r\nالامتثال للوائح الصارمة'}, {'title': 'التقاط البيانات الآلي، واستخراج البيانات وخدمات التعرف الضوئي على الحروف', 'description': 'يتزايد حجم البيانات التي تتعامل معها الشركات على أساس يومي بشكل كبير. أصبحت الخدمات مثل التقاط البيانات واسترجاعها واستخراجها جزءا لا يتجزأ من سير عمل المؤسسة. هذه هي الشروط المسبقة للإدارة الفعالة لكميات كبيرة من المعلومات المخزنة في أشكال ومواقع مختلفة.\r\n\r\nInData Labs هو بائع آلي لالتقاط البيانات يعزز الأعمال التجارية التي تعتمد على البيانات من خلال تزويدها بحلول فعالة. لإدارة بياناتك وأتمتة العمليات التجارية، نقدم خدمات التعرف الضوئي على الحروف والتقاط البيانات واستخراجها. التعرف على الشخصيات\r\n\r\nالتعرف الآلي والتقاط البيانات والتعرف على الأحرف للنص في الصور المضمنة وملفات الصور وما إلى ذلك.\r\n\r\nالكشف عن الميزات\r\n\r\nالتعرف على العناصر المنفصلة لكل حرف، مثل الخطوط والسكتات الدماغية والزوايا وما إلى ذلك.\r\n\r\nالتعرف على الباركود البصري (OBR)\r\n\r\nالتعرف على المنتج وخصائصه عن طريق مسح الباركود.\r\n\r\nالتعرف على الشخصيات على الصور الخام\r\n\r\nاستخراج البيانات من الصور منخفضة الجودة ذات الإضاءة السيئة، والتي تحتوي على أحرف مطبوعة بشكل سيء، وأكثر من ذلك.'}, {'title': 'التعرف على الصور وتطوير برامج تحليل الصور', 'description': 'نحن نصمم حلولا مخصصة قوية لتلبية احتياجات عملك. استمد رؤى قيمة من بياناتك المرئية بمساعدة الحلول التي أثبتت جدواها. نقوم بتطوير حلول مخصصة للتعرف على الصور وتحليلها تركز على عملك\r\n\r\nيمكننا إنشاء حلول مخصصة من خلال:\r\n\r\nكشف الأشياء والتعرف عليها وتحديدها من الصور الخام ذات الجودة المختلفة\r\n\r\nلديك خوارزمية شبكة عصبية التفافية تحت الغطاء\r\n\r\nتضخيم الأمن وتحليل المشاعر وتصنيف الكائنات والتشخيص وما إلى ذلك.'}, {'title': 'تطوير برامج رؤية الكمبيوتر المخصصة', 'description': 'نحن مستعدون لمساعدتك في إضافة قيمة إلى عملك باستخدام خوارزميات ML لحلول رؤية حاسوبية قوية مع تحليل الصور واكتشاف الكائنات وتحليل الفيديو ونساعد الشركات في مجال الرعاية الصحية والتصنيع واللياقة البدنية والرياضة والتجارة الإلكترونية والتسويق والخدمات اللوجستية وغيرها من الصناعات على حل تحديات الأعمال التجارية ونمو الوقود بمساعدة تكنولوجيا رؤية الكمبيوتر. بغض النظر عن الحل الذي تحتاجه - نظام فيديو للمراقبة، أو بناء نظام فحص بصري، أو تطبيق معالجة الفواتير، أو تنفيذ تقدير الوضع لتعزيز تجربة العملاء وأتمتة العمليات التجارية، سنجد الطريقة الصحيحة لمعالجتها.'}]"
MONEYLOOP,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692793380WhatsApp Image 2023-08-23 at 3.14.52 PM.jpeg,تطبيق جمعيات مالية مصرح من البنك المركزي السعودي ضمن البيئة التجريبية التشريعية,Bridge to Series A,FinTech,B2C,1-9,saleh@moneyloop.sa,0500100845,"[{'title': 'مالية', 'description': 'يتم انشاء جمعيات من خلال التطبيق ويتم اشتراك العملاء من خلاله'}]"
إيجارلي - Ejarly,https://sian.monshaat.gov.sa/Uploads/Beneficiary/16927875751024.png,منصة إيجارلي مختصة في قطاع التأجير وهي منصة  تقوم على ربط وتسهيل عملية التأجير بين أصحاب المممتلكات مِن الأفراد  والمنشأت مع المستأجرين  في بيئة أمنة وموثوقة,Pre-Seed,E-commerce,Platform,1-9,ejarly.noreply@gmail.com,0563114446,"[{'title': 'تأجير', 'description': 'تأجير'}]"
Charma,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692729569logo.png,تطبيق تواصل اجتماعي,Seed,Multimedia,B2C,1-9,RAYAN@32PERSONALITIES.COM,0500065006,"[{'title': 'Comunication', 'description': 'Freemum'}]"
سنمار,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692727497F172C57A-18F8-4C21-8276-871439C8C20A.jpeg,"نقدم خدمات في سياحة البحرية، الكترونية
اهدافنا تطوير تنظيم توعية، الخ",Pre-Seed,Media & Entertainment - E-commerce - Events - IoT - Technology - Transport - Travel & Tourism,B2B2C,1-9,firas@sinmar.com.sa,0541813541,"[{'title': 'رحلات بحرية', 'description': 'نوفر جميع انوع الرحلات البحرية'}, {'title': 'المركبات البحرية', 'description': 'نوفر جميع انواع المركبات البحرية على حسب البدجت، داخل مناطق المملكة'}, {'title': 'شاليهات والمنتجعات', 'description': 'نوفر شاليهات داخل مناطق الساحلية فقط، ميزاتنا التنافسية عديده'}, {'title': 'انشطة', 'description': 'نوفر انشطة بحرية مختلفة،  غوص، سباحة ، الخ'}, {'title': 'تدريب على رياضات البحرية', 'description': 'نوفر خدمات تدريب على رياضات البحرية، كما نتطلع الى تأسيس معهد تدريب رياضات بحرية'}, {'title': 'متجر', 'description': 'الهدف من المتجر توفير منتجات للعميل بهدف تسهيل الوصول، وزيادة مبيعات'}]"
شركة رفيد لتقنية المعلومات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/169271512712e08dcd-8b77-46ff-b94d-85a4d53a1ccb.jpeg,اقتصاد تشاركي توفيد المصورين لتصوير حفل الزواج,Growth,Technology,B2C,1-9,gr8.8@hotmail.com,0502090603,"[{'title': 'توفير مصورين لحفلات الزفاف', 'description': 'توفير مصورين لحفلات الزفاف حول المملكة'}]"
مؤسسة ثاقب للتصميم,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692710029thaqeb logo.png,استديو تصميمي في مجال واجهة المستخدم و تصميم المنتجات الرقمية,Seed,Artificial Intelligence - Creative - IT Solutions - Technology - Sustainability,B2B,1-9,info@thaqebstudio.com,0555698656,"[{'title': 'تصميم منتجات رقمية', 'description': 'حلول تقنية للشركات'}]"
مؤسسة تاج الاسد للفعاليات الترفيهيه (لورنديل),https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692709351Logo.png,"orindale was founded in 2016. The company has its headquarters in Khobar, Saudi Arabia. Lorindale became the leading concierge and lifestyle management services in Saudi Arabia.
We pride ourselves on being recognized for timely, reliable, and effective concierge solutions, worldwide. As we strive to build and maintain long- lasting personal relationships with our clients and members, we never take for granted the good fortune that has enabled us to provide concierge services to the highest level of clientele such as: royal families, professional athletes, celebrities, political figures, and Fortune 500 companies on a daily basis.",Pre-Seed,Events - Travel & Tourism - Quality of life,B2B2C,1-9,bushra@lorindale.com,0583771000,"[{'title': 'تنظيم كبار الشخصيات', 'description': 'استقبال كبار الشخصيات'}, {'title': 'خدمات كونسيرج', 'description': 'توفير حجوزات السفر والمطاعم وغيره'}, {'title': 'ادارة اسلوب حياة', 'description': 'تطوير من اسلوب جودة حياة الفرد'}]"
WIDE,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692628334logo.jpg,تسويق الكتروني متكامل,Post Seed,Advertising and Marketing,B2B,1-9,info@wide.sa,0554778000,"[{'title': 'تسويق الكتروني', 'description': 'وكالة تسويق'}]"
Sadeem Agency,https://sian.monshaat.gov.sa/Uploads/800x800/1692615948Artboard 1 copy 8@3x.png,سديم تقود الأعمال نحو النجاح الرقمي من خلال استراتيجيات العلامة التجارية المبتكرة. نحن متخصصون في تصميم استراتيجيات مخصصة تساعدك على التواصل بفعالية مع جمهورك المستهدف، وتمييز علامتك التجارية في سوق العمل، وتعزيز نموك ونجاحك في عالم الأعمال الرقمي. من خلال تحليلنا العميق لاحتياجاتك واستيعابنا الشامل للسوق، نقدم لك حلولًا مبتكرة ومناسبة تساعدك في تحقيق أهدافك والتفوق في سوق العمل.,Seed,Advertising and Marketing - Artificial Intelligence - Data Analytics and Business - IT Solutions - Consulting,B2B,1-9,hello@sadeemagency.com,0559926264,"[{'title': 'تطوير مواقع الانترنت', 'description': 'تصميم وتطوير مواقع ويب احترافية وسريعة الاستجابة وسهلة الاستخدام لتأسيس حضور قوي على الإنترنت وتعزيز تجربة المستخدم.'}, {'title': 'حلول التجارة الاكترونية', 'description': 'نحن نساعد الشركات على بيع المنتجات والخدمات عبر الإنترنت من خلال منصات التجارة الإلكترونية المخصصة التي تزيد المبيعات وتبسط المعاملات.'}, {'title': 'التسويق الإلكتروني', 'description': 'إنشاء وتنفيذ استراتيجيات التسويق الرقمي التي تحقق نتائج ملموسة، بما في ذلك تحسين محركات البحث (SEO)، التسويق بالنقرة على الإعلانات (PPC)، التسويق عبر وسائل التواصل الاجتماعي، التسويق عبر البريد الإلكتروني والتسويق بالمحتوى.'}, {'title': 'بناء وتعزيز العلامة التجارية', 'description': 'صناعة هويات تجارية مؤثرة، شعارات مميزة، وتميز الأعمال في السوق التنافسية.'}, {'title': 'الإنتاج الفني', 'description': 'نقدم خدمات إنتاج متميزة لإحياء علامتك التجارية عبر مختلف منصات الوسائط. ويشمل ذلك إنشاء محتوى بصري جذاب، وفيديوهات ديناميكية، وتصوير فوتوغرافي رائع، وعناصر صوتية متقنة، والمزيد.'}, {'title': 'الدعاية والإعلان', 'description': 'تصميم وتنفيذ حملات إعلانية فعالة عبر مختلف القنوات لتعزيز رؤية العلامة التجارية، والوصول إلى الجمهور المستهدف، وتحقيق التحويلات.'}]"
مؤسسة نمو الادارة للموارد البشرية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692615221f76baab7-92ed-473e-bc32-ba8c2b7b153c.png,ادارة الموارد البشرية للمنشآت,Pre-Seed,HR and recruitment,B2B,1-9,ibrsuwaigh@gmail.com,0540577775,"[{'title': 'ادارة الموارد البشرية', 'description': 'ادارة الموارد البشرية'}]"
أعيان العقارية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692610549IMG_0696.png,شركة أعيان العقارية الوساطة والتسويق العقاري,Post Seed,Real Estate,B2B2C,1-9,aayan@outlook.sa,0555720000,"[{'title': 'ادارة الاملاك', 'description': 'ادارة الاملاك العقارية المالية'}, {'title': 'الوساطة العقارية', 'description': 'اتمام الصفقات بين البائع والمشتري'}, {'title': 'المزادات العقارية', 'description': 'إقامة المزادات وتنظيمها'}]"
شركة كار ناس للسيارات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692609546yFCJVMDU_400x400.jpg,كارناس موقع بيع ومزايدة على السيارات عبر الانترنت يبدأ باستلام السيارة والمزايدة المباشرة عبر الانترنت بث مباشر في معارض خاصة بالشركة.,Pre-Seed,IT Solutions - Transport - Software,B2C,1-9,younis@carnas.app,0501933288,"[{'title': 'تسويق وبيع السيارات الكترونياً', 'description': 'تقديم خدمات التصوير والبيع للسيارات عن بعد مع تقديم خدمات ما بعد البيع منها التامين والتوصيل.'}]"
GajaCash,https://sian.monshaat.gov.sa/Uploads/800x800/1692585426Elephant Logo Hawala.png,Democratizing and simplifying cross-boarder movement of cash for everyone using decentralized ledger technology.,Pre-Seed,FinTech,C2C,1-9,shannonhannibal@gmail.com,+94770769475,"[{'title': 'C2C Cash Transfer', 'description': 'We provide the platform for customers to transfer their cash to each other as a trustless intermediary.  We make money from transaction fees'}]"
شركة واهب الرقمية لتقنية المعلومات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692532473WhatsApp Image 2023-08-20 at 2.51.36 PM.jpeg,تقديم خدمات الحلول الرقمية المتمثلة في الاستشارات التقنية وبناء المواقع الالكترونية والتطبيقات الذكية وتصميم الهويات التجارية والتسويق الالكتروني,Seed,Advertising and Marketing - AR/VR - Artificial Intelligence - Data Analytics and Business - EdTech - IT Solutions - Robotics - Software - SaaS,B2C,1-9,reem@waheb-sa.com,0555560028,"[{'title': 'الهوية التجارية', 'description': 'تصميم الشعار والبروفايل والمستندات والبوسترات وصفحات الهبوط'}, {'title': 'المتاجر الالكترونية', 'description': 'انشاء المتاجر الالكترونية وادارتها'}, {'title': 'التسويق الالكتروني', 'description': 'تحسين محركات البحث وادارة حسابات مواقع التواصل الاجتماعي'}, {'title': 'المواقع الالكترونية', 'description': 'تصميم وبرمجة المواقع'}, {'title': 'الهواتف الذكية', 'description': 'تصميم وبرمجة تطبيقات'}]"
أجياد,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692509878Logo.png,أجياد هي منصة الكترونية تربط بين الشركات التي تقدم القوى العاملة والشركات الباحثة عن القوى العامله المتواجدة في المملكة بنظام التعاقد المؤقت.,Pre-Seed,HR and recruitment,B2B,1-9,ajyadmanpower@gmail.com,0560004187,"[{'title': 'تأجير قوى عامله', 'description': 'جمع شركات القوى العامله في منصه واحده'}]"
شركة الفكر المميز للإستشارات المهنية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692458406الشعار.png,أنشئت الشركة في عام 2023 تحت توجيه وقيادة مهنيين تفوق خبرتهم العشرون عاماً في مجال الإستشارات المالية في كبرى شركات الإستشارات المالية والمحاسبية العاملة في الشرق الأوسط، حيث يتمتع قادة الشركة في خبرات فنية عالية في عدة مجالات وعلوم منها المحاسبة المالية، المحاسبة الإدارية، محاسبة التكاليف، العلوم المالية، النمذجة المالية، النمذجة الرياضية والإحصائية، الإقتصاد، الإدارة، بالاضافة الى علوم تحليل البيانات واكتشاف الإنماط ونمذجتها والتعامل معها.,Seed,Consulting,B2B,1-9,Hassan@bistfs.com,0555847076,"[{'title': 'خدمات الإستشارات المحاسبية والمالية', 'description': 'تقديم خدمة الفحص وإبداء الرأي الفني بما يتعلق في القوائم المالية بالإضافة إلى تقديم خدمات محاسبة التكاليف وتحليل نقطة التعادل.'}, {'title': 'خدمات الإستشارات المالية والإدارية', 'description': 'تقديم خدمة الفحص والرأي الفني بما يتعلق بأعمال بالإدارة المالية بالإضافة إلى تقديم خدمات تطوير الوثائق والسياسات المطلوبة للإمتثال مع التشريعات المعمول بها في المملكة العربية السعودية.'}, {'title': 'خدمات إدارة الأعمال', 'description': 'تقديم خدمات إدارة عمليات الشركات الناشئة ودعم الإستدامة عن بعد بالإضافة إلى تقديم الخدمات الإستراتيجية بما يتعلق في حوكمة الشركات الناشئة والصغيرة وربطها بما يتوافق مع رؤيتها.'}, {'title': 'خدمات تدريب وتأهيل الكوادر البشرية', 'description': 'تقديم خدمات التدريب والتأهيل للمحاسبين والماليين بالإضافة إلى خدمات التدريب في مجال التطوير المهني والإدارة'}]"
شركة اصول بابل للتقنية المالية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692382885LYMJ6501.JPG,منصة تتيح للعملاء الاستفادة من الرهون القائمة لديهم لتحقيق عوائد او الاستفادة من الاصول وحرية التصرف بها او الاستفادة في التصنيف الائتماني من خلال تقنيات Blockchain and NFTs,Post Seed,Artificial Intelligence - Blockchain - FinTech - SaaS,B2B,1-9,abomajed_13@hotmail.com,0598577775,"[{'title': 'استثمار', 'description': 'استثمار الرهون وتداولها'}, {'title': 'الاقتراض', 'description': 'ايجادقناة جديدة للعملاء للتوسع باعمالهم'}, {'title': 'التصنيف الائتماني', 'description': 'من خلال زيادة التصنيف او الاستفادة من خدمات بنكية ميسرة'}]"
Smart Recycling Robot System(SRRS),https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692336298Logo.jpg,"Using complex artificial intelligence technology and high-precision image processing, we separate and recycle urban, industrial and hospital waste.
In the next process, using smart waste recovery equipment, we produce liquid fuel and valuable industrial carbon black.
The produced liquid fuel and industrial carbon black can be used in petrochemical industries or to generate electricity.",Seed,Energy,B2B2C,1-9,amir2810shams@gmail.com,+989213661901,"[{'title': 'Recycling waste AI', 'description': 'Advancing technology to enable a world without waste'}]"
شركة الترشيد الذكي,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692301579WhatsApp Image 2023-08-17 at 10.30.24 PM.jpeg,التقنية المالية,Pre-Seed,FinTech,B2B,1-9,majed-alshabibi@hotmail.com,0559999925,"[{'title': 'امكانية ادارة المشروع عبر الذكاء الاصطناعي', 'description': 'امكانية ادارة المشروع عبر الذكاء الاصطناعي'}, {'title': 'توفير رحلة رقمية متكاملة', 'description': 'توفير رحلة رقمية متكاملة'}, {'title': 'اسعار تنافسيه', 'description': 'اسعار تنافسيه'}, {'title': 'تقديم تسهيلات وحلول مرنه', 'description': 'تقديم تسهيلات وحلول مرنه'}]"
شركة منصة مصروف لتقنية المعلومات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692284075الدائرة أخضر خلفية شفافة (1).png,شركة تقنية تقدم حل تقني شامل لخدمة كل أطراف العلاقة بالمقاصف المدرسية,Seed,E-commerce - IT Solutions - Software,B2B2C,1-9,rsg@masrof.com.sa,0557751222,"[{'title': 'خدمات الدفع الرقمي في المقاصف', 'description': 'دفع رقمي بديل للنقد للطلاب'}, {'title': 'خدمات التعاقد الرقمي لتشغيل المقاصف', 'description': 'عقد إلكتروني موحد وآلية تعاقد إلكترونية للمقاصف'}]"
شركة الحوسبة الشاملة لتقنية المعلومات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692229558WhatsApp Image 2023-04-05 at 5.57.22 PM.jpeg,الحوسبة شركة متخصصة في تطوير وتشغيل البرامج والتطبيقات ، لدينا خبرة في البرمجة والتصميم بأحدث التقنيات . يقوم بهذا العمل نخبة من المهندسين المتخصصين وبطابع إبداعي. - تقدم الحوسبة الشاملة خدمة تطوير البرمجيات لتتوافق مع احتياجات العملاء ومتطلبات السوق . وتشارك عملائها مسؤولية التشغيل والدعم بجودة يعتمد عليها .,Pre-Series A,E-commerce - Technology - Software - SaaS,C2C,10-19,alhawsaba@gmail.com,0562777716,"[{'title': 'منصة تطبيق الكتروني', 'description': 'تقدم خدمة الإعلان للغير من خلال مزودي خدمة وهم المؤثرون مشاهير منصات التواصل الاجتماعي'}]"
شركة الحوسبة الشاملة لتقنية الأعمال,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1692227676لقطة الشاشة 2022-10-10 124424.png,الحوسبة شركة متخصصة في تطوير وتشغيل البرامج والتطبيقات ، لدينا خبرة في البرمجة والتصميم بأحدث التقنيات . يقوم بهذا العمل نخبة من المهندسين المتخصصين وبطابع إبداعي. - تقدم الحوسبة الشاملة خدمة تطوير البرمجيات لتتوافق مع احتياجات العملاء ومتطلبات السوق . وتشارك عملائها مسؤولية التشغيل والدعم بجودة يعتمد عليها .,Pre-Series A,SaaS,C2C,10-19,alhawsaba@gmail.com,0562777716,"[{'title': 'منصة تطبيق الكتروني', 'description': 'يقدم خدمة الإعلان للغير عبر المؤثرين مشاهير منصات التواصل الاجتماعي'}]"
